id,sex,Age,agemons,weight,height,District,Cluster
1742,1,11,132,23.3,125.3,2,66
1743,1,11,132,23.2,124.8,2,40
1744,1,11,132,23.2,130.3,2,40
1745,1,11,132,23.1,130,1,21
1746,2,10,120,23.1,131,3,81
1747,2,13,156,23.1,132.8,3,90
1748,2,10,120,23.1,132.9,3,87
1749,1,15,180,23.1,135.6,3,90
1750,2,10,120,23.1,136.9,1,21
1751,2,12,144,23.1,138.4,3,74
1752,2,10,120,23,119.5,2,56
1753,1,11,132,23,124.3,2,68
1754,2,10,120,23,124.3,2,61
1755,2,11,132,23,125.5,2,53
1756,2,12,144,23,126,2,63
1757,1,11,132,23,126,2,52
1758,2,10,120,23,126.2,2,60
1759,2,10,120,23,126.4,2,63
1760,2,12,144,23,127,2,68
1761,2,11,132,23,127.4,2,55
1762,1,13,156,23,128.4,2,69
1763,2,10,120,23,129,2,51
1764,2,10,120,23,129,2,53
1765,1,10,120,23,129,3,89
1766,2,10,120,23,129.4,2,59
1767,1,12,144,23,129.5,2,65
1768,2,12,144,23,129.5,2,52
1769,2,10,120,23,130,1,18
1770,2,10,120,23,130,1,22
1771,2,11,132,23,130,3,88
1772,2,12,144,23,130,3,86
1773,2,13,156,23,130,3,83
1774,1,13,156,23,130,3,83
1775,1,13,156,23,130.4,1,18
1776,1,10,120,23,130.4,3,72
1777,2,13,156,23,130.5,2,61
1778,1,11,132,23,130.6,2,40
1779,1,11,132,23,131,2,51
1780,2,10,120,23,131,2,67
1781,2,10,120,23,131,3,84
1782,2,11,132,23,131.5,2,42
1783,1,10,120,23,131.5,1,15
1784,1,12,144,23,131.5,3,87
1785,2,10,120,23,132,2,65
1786,2,11,132,23,132,1,13
1787,1,10,120,23,132,1,20
1788,1,11,132,23,132.3,1,21
1789,2,10,120,23,132.3,3,76
1790,2,10,120,23,132.4,2,49
1791,2,10,120,23,132.5,3,75
1792,1,12,144,23,132.5,3,76
1793,1,12,144,23,133,1,23
1794,1,12,144,23,133.1,3,72
1795,1,12,144,23,133.4,1,10
1796,1,12,144,23,133.6,3,72
1797,2,11,132,23,134.4,1,22
1798,2,12,144,23,134.8,3,78
1799,2,13,156,23,134.9,1,24
1800,1,11,132,23,135,3,86
1801,2,11,132,23,135.2,1,19
1802,2,11,132,23,135.2,3,77
1803,1,12,144,23,137.2,2,46
1804,2,10,120,23,137.4,3,86
1805,2,10,120,23,140.1,2,45
1806,1,12,144,23,141.7,2,45
1807,1,13,156,23,142.2,2,40
1808,2,13,156,23,143.7,1,25
1809,2,13,156,23,147.8,1,25
1810,1,10,120,22.5,123.3,2,40
1811,1,11,132,22.5,124,2,61
1812,2,14,168,22.5,126.3,2,55
1813,1,13,156,22.5,131.2,2,49
1814,2,15,180,22.5,136.6,1,14
